diff,distance,cos,sin,value
310700,24.56868987,0.90345478,-0.428683403,216
310705,24.56868987,0.90345478,-0.428683403,210
310710,24.56868987,0.90345478,-0.428683403,208
310715,24.56868987,0.90345478,-0.428683403,197
310719,24.56868987,0.90345478,-0.428683403,204
310724,24.56868987,0.90345478,-0.428683403,204
310729,24.56868987,0.90345478,-0.428683403,199
310734,24.56868987,0.90345478,-0.428683403,188
310739,24.65700032,0.904546966,-0.426373998,180
310744,24.78720872,0.903331063,-0.428944041,189
310749,24.88201674,0.904058697,-0.427408321,193
310754,24.88201674,0.904058697,-0.427408321,201
310759,24.88201674,0.904058697,-0.427408321,202
310763,24.88201674,0.904058697,-0.427408321,217
310768,24.88201674,0.904058697,-0.427408321,214
310773,24.88201674,0.904058697,-0.427408321,214
310778,24.78720872,0.903331063,-0.428944041,201
310783,24.88201674,0.904058697,-0.427408321,192
310788,24.88201674,0.904058697,-0.427408321,191
